,index,Feature name,Coefficients,p_values,Original feature name,Score -  Calculations,Score -  Calculation,Score - Preliminary,Difference,Score - Final
0,0,Intercept,-0.02430467321964729,,Intercept,-2.2578371351547624,408.1172071145161,408.0,-0.11720711451607713,408.0
1,1,grade:A,2.0313134597920337,0.0,grade,188.7034201698562,138.3825081245612,138.0,-0.3825081245612125,138.0
2,2,grade:B,1.124506367507283,5.069716433182867e-96,grade,104.46354132519285,76.60659697180809,77.0,0.3934030281919121,77.0
3,3,grade:C,0.8653655202090255,8.184743671259539e-61,grade,80.39007105148033,58.95271877108557,59.0,0.04728122891442865,59.0
4,4,grade:D,0.686266086884232,1.9095921092292505e-40,grade,63.752227465128186,46.751633474427344,47.0,0.24836652557265637,47.0
5,5,grade:E,0.4051288269768902,3.00343159876202e-17,grade,37.63535110320589,27.59925747568432,28.0,0.4007425243156817,28.0
6,6,grade:F,0.13875785483010014,0.005715847490835846,grade,12.89022216421144,9.45282958708839,9.0,-0.45282958708838983,9.0
7,7,home_ownership:OWN,0.11512006597522938,1.0331507505440673e-08,home_ownership,10.694336747972583,7.842513615179896,8.0,0.15748638482010424,8.0
8,8,home_ownership:MORTGAGE,0.12130301196523961,3.660166477968504e-22,home_ownership,11.26871538432538,8.263724615171945,8.0,-0.26372461517194523,8.0
9,9,addr_state:NM_VA,-0.03847331969029696,0.18274907393118145,addr_state,-3.574065329922342,-2.6209812419430505,-3.0,-0.3790187580569495,-3.0
10,10,addr_state:OK_TN_MO_LA_MD_NC,-0.017707147052298547,0.34408028527068024,addr_state,-1.6449451433071371,-1.2062931050919006,-1.0,0.20629310509190057,-1.0
11,11,addr_state:UT_KY_AZ_NJ,0.0035182388531390884,0.8651329228232664,addr_state,0.3268346898217221,0.2396787725359295,0.0,-0.2396787725359295,0.0
12,12,addr_state:AR_MI_PA_OH_MN,0.06275497677113666,0.0004797302201904094,addr_state,5.8297643292363945,4.275160508106691,4.0,-0.27516050810669057,4.0
13,13,addr_state:RI_MA_DE_SD_IN,0.02280776495782439,0.3885181226977291,addr_state,2.1187784845438347,1.5537708886654786,2.0,0.44622911133452137,2.0
14,14,addr_state:GA_WA_OR,0.11113849728332788,1.1677191144870947e-06,addr_state,10.324459993510496,7.571270661907697,8.0,0.4287293380923032,8.0
15,15,addr_state:WI_MT,0.17054838984328946,0.00018290581416647715,addr_state,15.843475221783642,11.61854849597467,12.0,0.3814515040253301,12.0
16,16,addr_state:IL_CT,0.18658409361080847,4.1721255957782874e-13,addr_state,17.333147892032816,12.710975120824063,13.0,0.2890248791759369,13.0
17,17,addr_state:KS_SC_CO_VT_AK_MS,0.25054579279193634,1.2631806709870343e-19,addr_state,23.27501340627503,17.068343164601686,17.0,-0.06834316460168566,17.0
18,18,addr_state:WV_NH_WY_DC_ME_ID,0.43964085601718794,1.0082109325282402e-17,addr_state,40.841423452853164,29.95037719875899,30.0,0.049622801241010706,30.0
19,19,verification_status:Source Verified grade,0.0,1.0,verification_status,0.0,0.0,0.0,0.0,0.0
20,20,verification_status:Not Verified,0.0915278180092595,3.143969568573176e-12,verification_status,8.502681954758327,6.235300100156106,6.0,-0.23530010015610614,6.0
21,21,purpose:small_business,-0.47855562857466416,6.95415197143669e-25,purpose,-44.45649853706968,-32.60143226051776,-33.0,-0.3985677394822389,-33.0
22,22,purpose:educational,-0.25302239210381444,0.06547533209296083,purpose,-23.505082654469522,-17.23706061327765,-17.0,0.2370606132776487,-17.0
23,23,purpose:renewable_energy,-0.00842864123805337,0.9602301543489377,purpose,-0.7829975336097065,-0.5741981913137847,-1.0,-0.4258018086862153,-1.0
24,24,purpose:moving,-0.09413761398428881,0.13638573515331862,purpose,-8.745124805742032,-6.413091524210823,-6.0,0.41309152421082285,-6.0
25,25,purpose:house,-0.038886106282477434,0.593445222444561,purpose,-3.612412066300828,-2.6491021819539404,-3.0,-0.3508978180460596,-3.0
26,26,purpose:other,0.0035821311606720153,0.9278066681929329,purpose,0.33277010904315624,0.24403141329831457,0.0,-0.24403141329831457,0.0
27,27,purpose:medical,-0.026107333156649398,0.651070283273188,purpose,-2.4252992734454732,-1.7785528005266802,-2.0,-0.2214471994733198,-2.0
28,28,purpose:wedding,0.2965712391192465,8.971278667933625e-05,purpose,27.550650479883924,20.203810351914875,20.0,-0.20381035191487484,20.0
